Figure,Setting,Indicator,Group,Subgroup,Time,Start_Time,End_Time,Value,Measure
0,ED,,,,133,07/13/2022,07/19/2022,23656.0,Number of encounters
0,ED,,,,134,07/20/2022,07/26/2022,23552.0,Number of encounters
0,ED,,,,135,07/27/2022,08/02/2022,23809.0,Number of encounters
0,ED,,,,136,08/03/2022,08/09/2022,23805.0,Number of encounters
0,ED,,,,137,08/10/2022,08/16/2022,23708.0,Number of encounters
0,ED,,,,138,08/17/2022,08/23/2022,23574.0,Number of encounters
0,ED,,,,139,08/24/2022,08/30/2022,23661.0,Number of encounters
0,ED,,,,140,08/31/2022,09/06/2022,23942.0,Number of encounters
0,ED,,,,141,09/07/2022,09/13/2022,24511.0,Number of encounters
0,ED,,,,142,09/14/2022,09/20/2022,24323.0,Number of encounters
0,ED,,,,143,09/21/2022,09/27/2022,24428.0,Number of encounters
0,ED,,,,144,09/28/2022,10/04/2022,23898.0,Number of encounters
0,ED,,,,145,10/05/2022,10/11/2022,24789.0,Number of encounters
0,ED,,,,146,10/12/2022,10/18/2022,24728.0,Number of encounters
0,ED,,,,147,10/19/2022,10/25/2022,25032.0,Number of encounters
0,ED,,,,148,10/26/2022,11/01/2022,25037.0,Number of encounters
0,ED,,,,149,11/02/2022,11/08/2022,26069.0,Number of encounters
0,ED,,,,150,11/09/2022,11/15/2022,25196.0,Number of encounters
0,ED,,,,151,11/16/2022,11/22/2022,25337.0,Number of encounters
0,ED,,,,152,11/23/2022,11/29/2022,25282.0,Number of encounters
0,ED,,,,153,11/30/2022,12/06/2022,25316.0,Number of encounters
0,ED,,,,154,12/07/2022,12/13/2022,24874.0,Number of encounters
0,ED,,,,155,12/14/2022,12/20/2022,23428.0,Number of encounters
0,ED,,,,156,12/21/2022,12/27/2022,21450.0,Number of encounters
0,ED,,,,157,12/28/2022,01/03/2023,22780.0,Number of encounters
0,ED,,,,158,01/04/2023,01/10/2023,21528.0,Number of encounters
0,ED,,,,159,01/11/2023,01/17/2023,21104.0,Number of encounters
0,ED,,,,160,01/18/2023,01/24/2023,22011.0,Number of encounters
0,ED,,,,161,01/25/2023,01/31/2023,22131.0,Number of encounters
0,ED,,,,162,02/01/2023,02/07/2023,21956.0,Number of encounters
0,ED,,,,163,02/08/2023,02/14/2023,22815.0,Number of encounters
0,ED,,,,164,02/15/2023,02/21/2023,23227.0,Number of encounters
0,ED,,,,165,02/22/2023,02/28/2023,22529.0,Number of encounters
0,ED,,,,166,03/01/2023,03/07/2023,22764.0,Number of encounters
0,ED,,,,167,03/08/2023,03/14/2023,22603.0,Number of encounters
0,ED,,,,168,03/15/2023,03/21/2023,22795.0,Number of encounters
0,ED,,,,169,03/22/2023,03/28/2023,23017.0,Number of encounters
0,ED,,,,170,03/29/2023,04/04/2023,21875.0,Number of encounters
0,ED,,,,171,04/05/2023,04/11/2023,20801.0,Number of encounters
0,ED,,,,172,04/12/2023,04/18/2023,21330.0,Number of encounters
0,ED,,,,173,04/19/2023,04/25/2023,20391.0,Number of encounters
0,ED,,,,174,04/26/2023,05/02/2023,20627.0,Number of encounters
0,ED,,,,175,05/03/2023,05/09/2023,20395.0,Number of encounters
0,ED,,,,176,05/10/2023,05/16/2023,16365.0,Number of encounters
0,ED,,,,177,05/17/2023,05/23/2023,10614.0,Number of encounters
0,IP,,,,12,03/18/2020,03/24/2020,5747.0,Number of encounters
0,IP,,,,13,03/25/2020,03/31/2020,5461.0,Number of encounters
0,IP,,,,14,04/01/2020,04/07/2020,5337.0,Number of encounters
0,IP,,,,15,04/08/2020,04/14/2020,5403.0,Number of encounters
0,IP,,,,16,04/15/2020,04/21/2020,5325.0,Number of encounters
0,IP,,,,17,04/22/2020,04/28/2020,5383.0,Number of encounters
0,IP,,,,18,04/29/2020,05/05/2020,5663.0,Number of encounters
0,IP,,,,19,05/06/2020,05/12/2020,5857.0,Number of encounters
0,IP,,,,20,05/13/2020,05/19/2020,6071.0,Number of encounters
0,IP,,,,21,05/20/2020,05/26/2020,5994.0,Number of encounters
0,IP,,,,22,05/27/2020,06/02/2020,6605.0,Number of encounters
0,IP,,,,23,06/03/2020,06/09/2020,6670.0,Number of encounters
0,IP,,,,24,06/10/2020,06/16/2020,6799.0,Number of encounters
0,IP,,,,25,06/17/2020,06/23/2020,6801.0,Number of encounters
0,IP,,,,26,06/24/2020,06/30/2020,6893.0,Number of encounters
0,IP,,,,27,07/01/2020,07/07/2020,6753.0,Number of encounters
0,IP,,,,28,07/08/2020,07/14/2020,6966.0,Number of encounters
0,IP,,,,29,07/15/2020,07/21/2020,6984.0,Number of encounters
0,IP,,,,30,07/22/2020,07/28/2020,7018.0,Number of encounters
0,IP,,,,31,07/29/2020,08/04/2020,6875.0,Number of encounters
0,IP,,,,32,08/05/2020,08/11/2020,6910.0,Number of encounters
0,IP,,,,33,08/12/2020,08/18/2020,6955.0,Number of encounters
0,IP,,,,34,08/19/2020,08/25/2020,7219.0,Number of encounters
0,IP,,,,35,08/26/2020,09/01/2020,7058.0,Number of encounters
0,IP,,,,36,09/02/2020,09/08/2020,6434.0,Number of encounters
0,IP,,,,37,09/09/2020,09/15/2020,7192.0,Number of encounters
0,IP,,,,38,09/16/2020,09/22/2020,7083.0,Number of encounters
0,IP,,,,39,09/23/2020,09/29/2020,7222.0,Number of encounters
0,IP,,,,40,09/30/2020,10/06/2020,7133.0,Number of encounters
0,IP,,,,41,10/07/2020,10/13/2020,7254.0,Number of encounters
0,IP,,,,42,10/14/2020,10/20/2020,7205.0,Number of encounters
0,IP,,,,43,10/21/2020,10/27/2020,7312.0,Number of encounters
0,IP,,,,44,10/28/2020,11/03/2020,7000.0,Number of encounters
0,IP,,,,45,11/04/2020,11/10/2020,7235.0,Number of encounters
0,IP,,,,46,11/11/2020,11/17/2020,7003.0,Number of encounters
0,IP,,,,47,11/18/2020,11/24/2020,7190.0,Number of encounters
0,IP,,,,48,11/25/2020,12/01/2020,6742.0,Number of encounters
0,IP,,,,49,12/02/2020,12/08/2020,7295.0,Number of encounters
0,IP,,,,50,12/09/2020,12/15/2020,7351.0,Number of encounters
0,IP,,,,51,12/16/2020,12/22/2020,6992.0,Number of encounters
0,IP,,,,52,12/23/2020,12/29/2020,6317.0,Number of encounters
0,IP,,,,53,12/30/2020,01/05/2021,6859.0,Number of encounters
0,IP,,,,54,01/06/2021,01/12/2021,7189.0,Number of encounters
0,IP,,,,55,01/13/2021,01/19/2021,6911.0,Number of encounters
0,IP,,,,56,01/20/2021,01/26/2021,7240.0,Number of encounters
0,IP,,,,57,01/27/2021,02/02/2021,7056.0,Number of encounters
0,IP,,,,58,02/03/2021,02/09/2021,7379.0,Number of encounters
0,IP,,,,59,02/10/2021,02/16/2021,7187.0,Number of encounters
0,IP,,,,60,02/17/2021,02/23/2021,7293.0,Number of encounters
0,IP,,,,61,02/24/2021,03/02/2021,7334.0,Number of encounters
0,IP,,,,62,03/03/2021,03/09/2021,7301.0,Number of encounters
0,IP,,,,63,03/10/2021,03/16/2021,7284.0,Number of encounters
0,IP,,,,64,03/17/2021,03/23/2021,7261.0,Number of encounters
0,IP,,,,65,03/24/2021,03/30/2021,7481.0,Number of encounters
0,IP,,,,66,03/31/2021,04/06/2021,7260.0,Number of encounters
0,IP,,,,67,04/07/2021,04/13/2021,7783.0,Number of encounters
0,IP,,,,68,04/14/2021,04/20/2021,7556.0,Number of encounters
0,IP,,,,69,04/21/2021,04/27/2021,7220.0,Number of encounters
0,IP,,,,70,04/28/2021,05/04/2021,7393.0,Number of encounters
0,IP,,,,71,05/05/2021,05/11/2021,7296.0,Number of encounters
0,IP,,,,72,05/12/2021,05/18/2021,7362.0,Number of encounters
0,IP,,,,73,05/19/2021,05/25/2021,7384.0,Number of encounters
0,IP,,,,74,05/26/2021,06/01/2021,6754.0,Number of encounters
0,IP,,,,75,06/02/2021,06/08/2021,7571.0,Number of encounters
0,IP,,,,76,06/09/2021,06/15/2021,7475.0,Number of encounters
0,IP,,,,77,06/16/2021,06/22/2021,7388.0,Number of encounters
0,IP,,,,78,06/23/2021,06/29/2021,7358.0,Number of encounters
0,IP,,,,79,06/30/2021,07/06/2021,6843.0,Number of encounters
0,IP,,,,80,07/07/2021,07/13/2021,7395.0,Number of encounters
0,IP,,,,81,07/14/2021,07/20/2021,7419.0,Number of encounters
0,IP,,,,82,07/21/2021,07/27/2021,7383.0,Number of encounters
0,IP,,,,83,07/28/2021,08/03/2021,7394.0,Number of encounters
0,IP,,,,84,08/04/2021,08/10/2021,7338.0,Number of encounters
0,IP,,,,85,08/11/2021,08/17/2021,7315.0,Number of encounters
0,IP,,,,86,08/18/2021,08/24/2021,7225.0,Number of encounters
0,IP,,,,87,08/25/2021,08/31/2021,7269.0,Number of encounters
0,IP,,,,88,09/01/2021,09/07/2021,7065.0,Number of encounters
0,IP,,,,89,09/08/2021,09/14/2021,7636.0,Number of encounters
0,IP,,,,90,09/15/2021,09/21/2021,7495.0,Number of encounters
0,IP,,,,91,09/22/2021,09/28/2021,7512.0,Number of encounters
0,IP,,,,92,09/29/2021,10/05/2021,7215.0,Number of encounters
0,IP,,,,93,10/06/2021,10/12/2021,7316.0,Number of encounters
0,IP,,,,94,10/13/2021,10/19/2021,7443.0,Number of encounters
0,IP,,,,95,10/20/2021,10/26/2021,7426.0,Number of encounters
0,IP,,,,96,10/27/2021,11/02/2021,7317.0,Number of encounters
0,IP,,,,97,11/03/2021,11/09/2021,7558.0,Number of encounters
0,IP,,,,98,11/10/2021,11/16/2021,7544.0,Number of encounters
0,IP,,,,99,11/17/2021,11/23/2021,7371.0,Number of encounters
0,IP,,,,100,11/24/2021,11/30/2021,6868.0,Number of encounters
0,IP,,,,101,12/01/2021,12/07/2021,7505.0,Number of encounters
0,IP,,,,102,12/08/2021,12/14/2021,7442.0,Number of encounters
0,IP,,,,103,12/15/2021,12/21/2021,7211.0,Number of encounters
0,IP,,,,104,12/22/2021,12/28/2021,6369.0,Number of encounters
0,IP,,,,105,12/29/2021,01/04/2022,6803.0,Number of encounters
0,IP,,,,106,01/05/2022,01/11/2022,6893.0,Number of encounters
0,IP,,,,107,01/12/2022,01/18/2022,6702.0,Number of encounters
0,IP,,,,108,01/19/2022,01/25/2022,6955.0,Number of encounters
0,IP,,,,109,01/26/2022,02/01/2022,6842.0,Number of encounters
0,IP,,,,110,02/02/2022,02/08/2022,6865.0,Number of encounters
0,IP,,,,111,02/09/2022,02/15/2022,7096.0,Number of encounters
0,IP,,,,112,02/16/2022,02/22/2022,7110.0,Number of encounters
0,IP,,,,113,02/23/2022,03/01/2022,7102.0,Number of encounters
0,IP,,,,114,03/02/2022,03/08/2022,7258.0,Number of encounters
0,IP,,,,115,03/09/2022,03/15/2022,6919.0,Number of encounters
0,IP,,,,116,03/16/2022,03/22/2022,7058.0,Number of encounters
0,IP,,,,117,03/23/2022,03/29/2022,6853.0,Number of encounters
0,IP,,,,118,03/30/2022,04/05/2022,7251.0,Number of encounters
0,IP,,,,119,04/06/2022,04/12/2022,7322.0,Number of encounters
0,IP,,,,120,04/13/2022,04/19/2022,7052.0,Number of encounters
0,IP,,,,121,04/20/2022,04/26/2022,7405.0,Number of encounters
0,IP,,,,122,04/27/2022,05/03/2022,7323.0,Number of encounters
0,IP,,,,123,05/04/2022,05/10/2022,7184.0,Number of encounters
0,IP,,,,124,05/11/2022,05/17/2022,7519.0,Number of encounters
0,IP,,,,125,05/18/2022,05/24/2022,7484.0,Number of encounters
0,IP,,,,126,05/25/2022,05/31/2022,6873.0,Number of encounters
0,IP,,,,127,06/01/2022,06/07/2022,7425.0,Number of encounters
0,IP,,,,128,06/08/2022,06/14/2022,7336.0,Number of encounters
0,IP,,,,129,06/15/2022,06/21/2022,7168.0,Number of encounters
0,IP,,,,130,06/22/2022,06/28/2022,7385.0,Number of encounters
0,IP,,,,131,06/29/2022,07/05/2022,6871.0,Number of encounters
0,IP,,,,132,07/06/2022,07/12/2022,7517.0,Number of encounters
0,IP,,,,133,07/13/2022,07/19/2022,7415.0,Number of encounters
0,IP,,,,134,07/20/2022,07/26/2022,7449.0,Number of encounters
0,IP,,,,135,07/27/2022,08/02/2022,7164.0,Number of encounters
0,IP,,,,136,08/03/2022,08/09/2022,7196.0,Number of encounters
0,IP,,,,137,08/10/2022,08/16/2022,7288.0,Number of encounters
0,IP,,,,138,08/17/2022,08/23/2022,7406.0,Number of encounters
0,IP,,,,139,08/24/2022,08/30/2022,7336.0,Number of encounters
0,IP,,,,140,08/31/2022,09/06/2022,7005.0,Number of encounters
0,IP,,,,141,09/07/2022,09/13/2022,7448.0,Number of encounters
0,IP,,,,142,09/14/2022,09/20/2022,7652.0,Number of encounters
0,IP,,,,143,09/21/2022,09/27/2022,7599.0,Number of encounters
0,IP,,,,144,09/28/2022,10/04/2022,7413.0,Number of encounters
0,IP,,,,145,10/05/2022,10/11/2022,7624.0,Number of encounters
0,IP,,,,146,10/12/2022,10/18/2022,7682.0,Number of encounters
0,IP,,,,147,10/19/2022,10/25/2022,7918.0,Number of encounters
0,IP,,,,148,10/26/2022,11/01/2022,8251.0,Number of encounters
0,IP,,,,149,11/02/2022,11/08/2022,8575.0,Number of encounters
0,IP,,,,150,11/09/2022,11/15/2022,8465.0,Number of encounters
0,IP,,,,151,11/16/2022,11/22/2022,8281.0,Number of encounters
0,IP,,,,152,11/23/2022,11/29/2022,7976.0,Number of encounters
0,IP,,,,153,11/30/2022,12/06/2022,8528.0,Number of encounters
0,IP,,,,154,12/07/2022,12/13/2022,8381.0,Number of encounters
0,IP,,,,155,12/14/2022,12/20/2022,8406.0,Number of encounters
0,IP,,,,156,12/21/2022,12/27/2022,7213.0,Number of encounters
0,IP,,,,157,12/28/2022,01/03/2023,7472.0,Number of encounters
0,IP,,,,158,01/04/2023,01/10/2023,7628.0,Number of encounters
0,IP,,,,159,01/11/2023,01/17/2023,7226.0,Number of encounters
0,IP,,,,160,01/18/2023,01/24/2023,7720.0,Number of encounters
0,IP,,,,161,01/25/2023,01/31/2023,7629.0,Number of encounters
0,IP,,,,162,02/01/2023,02/07/2023,7539.0,Number of encounters
0,IP,,,,163,02/08/2023,02/14/2023,7865.0,Number of encounters
0,IP,,,,164,02/15/2023,02/21/2023,7544.0,Number of encounters
0,IP,,,,165,02/22/2023,02/28/2023,7671.0,Number of encounters
0,IP,,,,166,03/01/2023,03/07/2023,7682.0,Number of encounters
0,IP,,,,167,03/08/2023,03/14/2023,7540.0,Number of encounters
0,IP,,,,168,03/15/2023,03/21/2023,7734.0,Number of encounters
0,IP,,,,169,03/22/2023,03/28/2023,7476.0,Number of encounters
0,IP,,,,170,03/29/2023,04/04/2023,7197.0,Number of encounters
0,IP,,,,171,04/05/2023,04/11/2023,7053.0,Number of encounters
0,IP,,,,172,04/12/2023,04/18/2023,7123.0,Number of encounters
0,IP,,,,173,04/19/2023,04/25/2023,6777.0,Number of encounters
0,IP,,,,174,04/26/2023,05/02/2023,6366.0,Number of encounters
0,IP,,,,175,05/03/2023,05/09/2023,5298.0,Number of encounters
0,IP,,,,176,05/10/2023,05/16/2023,3192.0,Number of encounters
0,IP,,,,177,05/17/2023,05/23/2023,819.0,Number of encounters
1,ED,Confirmed COVID-19,Age,0-4 Years,12,03/18/2020,03/24/2020,0.2,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,13,03/25/2020,03/31/2020,0.2,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,14,04/01/2020,04/07/2020,0.2,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,15,04/08/2020,04/14/2020,0.2,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,16,04/15/2020,04/21/2020,0.4,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,17,04/22/2020,04/28/2020,0.3,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,18,04/29/2020,05/05/2020,0.5,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,19,05/06/2020,05/12/2020,0.5,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,20,05/13/2020,05/19/2020,0.9,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,21,05/20/2020,05/26/2020,0.4,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,22,05/27/2020,06/02/2020,0.4,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,23,06/03/2020,06/09/2020,0.8,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,24,06/10/2020,06/16/2020,1.0,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,25,06/17/2020,06/23/2020,0.8,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,26,06/24/2020,06/30/2020,0.9,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,27,07/01/2020,07/07/2020,1.9,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,28,07/08/2020,07/14/2020,1.8,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,29,07/15/2020,07/21/2020,2.0,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,30,07/22/2020,07/28/2020,1.3,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,31,07/29/2020,08/04/2020,1.2,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,32,08/05/2020,08/11/2020,1.8,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,33,08/12/2020,08/18/2020,1.3,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,34,08/19/2020,08/25/2020,1.1,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,35,08/26/2020,09/01/2020,1.1,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,36,09/02/2020,09/08/2020,0.8,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,37,09/09/2020,09/15/2020,0.6,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,38,09/16/2020,09/22/2020,0.6,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,39,09/23/2020,09/29/2020,0.7,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,40,09/30/2020,10/06/2020,0.6,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,41,10/07/2020,10/13/2020,1.5,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,42,10/14/2020,10/20/2020,1.6,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,43,10/21/2020,10/27/2020,1.6,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,44,10/28/2020,11/03/2020,1.5,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,45,11/04/2020,11/10/2020,2.4,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,46,11/11/2020,11/17/2020,3.0,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,47,11/18/2020,11/24/2020,3.8,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,48,11/25/2020,12/01/2020,3.3,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,49,12/02/2020,12/08/2020,5.6,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,50,12/09/2020,12/15/2020,5.1,Percent
